國立清華大學,理學院學士班,18 新竹市,98,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,382.2,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,數學系,18 新竹市,265,None,None,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,應用數學系,18 新竹市,125,None,None,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,資訊工程學系,18 新竹市,579,None,None,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,化學工程學系,18 新竹市,234,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,387.4,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,材料科學工程學系,18 新竹市,407,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,397,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,工程與系統科學系,18 新竹市,404,None,None,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,電機工程學系,18 新竹市,440,None,None,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,電機資訊學院學士班,18 新竹市,114,國x1.00 英x1.50 數甲x1.50 物x1.50 化x1.00,519,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,動力機械工程學系,18 新竹市,457,None,None,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,工業工程與工程管理學系,18 新竹市,273,國x1.00 英x1.50 數甲x1.50 物x1.00 化x1.00,444.8,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,生醫工程與環境科學系,18 新竹市,189,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,371.1,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,原子科學院學士班,18 新竹市,77,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,374.7,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,工學院學士班,18 新竹市,127,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,393.5,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,醫學科學系,18 新竹市,84,英x1.50 數甲x1.00 物x1.00 化x1.50 生x1.50,522.15,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,清華學院學士班,18 新竹市,107,None,None,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立臺灣大學,戲劇學系,30 臺北市,189,None,None,https://nol.ntu.edu.tw/
國立臺灣大學,歷史學系,30 臺北市,264,國x1.00 英x1.00 歷x1.00 地x1.00 公x1.00,392.8,https://nol.ntu.edu.tw/
國立臺灣大學,人類學系,30 臺北市,158,國x1.00 英x1.25 歷x1.00 地x1.00 公x1.00,407.35,https://nol.ntu.edu.tw/
國立臺灣大學,哲學系,30 臺北市,186,國x1.00 英x1.00 數乙x1.00 歷x1.00 公x1.00,398.3,https://nol.ntu.edu.tw/
國立臺灣大學,外國語文學系,30 臺北市,544,國x1.25 英x2.00 數乙x1.00 歷x1.00 地x1.00,504.45,https://nol.ntu.edu.tw/
國立臺灣大學,日本語文學系,30 臺北市,266,國x1.50 英x1.50 數乙x1.00 歷x1.00 地x1.00,472.75,https://nol.ntu.edu.tw/
國立臺灣大學,中國文學系,30 臺北市,336,None,None,https://nol.ntu.edu.tw/
國立臺灣大學,經濟學系,30 臺北市,590,國x1.50 英x1.50 數乙x2.00,428.95,https://nol.ntu.edu.tw/
國立臺灣大學,政治學系,30 臺北市,752,None,None,https://nol.ntu.edu.tw/
國立臺灣大學,心理學系,30 臺北市,290,國x1.00 英x1.00 數甲x1.00 化x1.00 生x1.00,387.9,https://nol.ntu.edu.tw/
國立臺灣大學,社會學系,30 臺北市,204,國x1.50 英x1.50 數乙x1.50 歷x1.00 公x1.00,524.25,https://nol.ntu.edu.tw/
